acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,class
350,-238,9689,1,-18,-3,0
356,-251,9650,12,-13,-3,0
356,-232,9651,1,-6,-16,0
339,-228,9656,-5,-6,-18,0
384,-196,9640,11,0,-19,0
383,-140,9670,-2,11,-21,0
357,-125,9751,-15,13,-10,0
325,-137,9804,-3,16,2,0
277,-180,9824,0,11,9,0
253,-249,9834,0,4,0,0
263,-202,9846,4,5,-1,0
243,-177,9877,-2,2,0,0
246,-235,9859,-11,-9,-4,0
272,-226,9834,-7,-12,-4,0
289,-158,9847,-1,-7,-5,0
266,-172,9856,-1,-12,-2,0
295,-214,9815,3,-18,-1,0
305,-246,9766,5,-21,0,0
301,-253,9724,-6,-25,-8,0
357,-241,9720,-14,-21,-13,0
349,-217,9727,-1,-14,-11,0
335,-189,9708,0,-14,-5,0
347,-217,9684,-5,-14,-1,0
366,-214,9680,3,-11,-4,0
356,-162,9692,0,-4,-7,0
355,-143,9720,-4,0,-3,0
329,-166,9756,5,1,-3,0
307,-177,9754,3,0,-3,0
331,-221,9759,-6,-3,-9,0
332,-155,9794,0,-4,-5,0
349,-108,9786,4,-6,5,0
331,-156,9824,-7,-3,8,0
290,-197,9865,-19,-2,9,0
306,-198,9833,-2,-15,15,0
320,-228,9796,-3,-18,10,0
307,-202,9765,-3,-18,8,0
313,-181,9732,1,-18,10,0
281,-202,9735,7,-18,10,0
307,-247,9755,-1,-17,10,0
324,-268,9810,-12,-12,6,0
300,-292,9854,-29,-12,0,0
300,-330,9836,-22,-18,0,0
299,-287,9762,4,-25,5,0
329,-234,9677,17,-31,5,0
347,-201,9591,22,-30,6,0
384,-166,9585,26,-21,2,0
380,-164,9639,6,-8,-3,0
375,-249,9737,-11,-5,-15,0
362,-259,9791,-7,-5,-25,0
362,-259,9791,-7,-5,-25,0
339,-209,9798,3,-6,-26,0
324,-179,9798,4,-8,-26,0
311,-175,9759,8,-13,-23,0
323,-135,9719,24,-13,-15,0
307,-141,9689,23,-13,-5,0
286,-215,9636,23,-22,-9,0
402,-117,9635,35,-15,-4,0
549,102,9879,-1,21,-3,0
468,280,10263,-91,53,4,0
214,-142,10302,-98,6,28,0
165,-604,9951,25,-53,55,0
219,-588,9531,105,-82,20,0
311,-181,9329,69,-69,-17,0
404,35,9398,9,-26,-2,0
430,-155,9621,-36,6,25,0
401,-411,9794,-61,17,19,0
405,-456,9857,-67,12,-7,0
418,-314,9833,-40,-5,-24,0
444,-111,9721,23,-17,-11,0
420,-47,9646,70,-14,9,0
308,-135,9623,59,-11,17,0
272,-229,9656,21,-8,5,0
326,-220,9696,-7,1,-1,0
384,-203,9749,-27,11,-12,0
411,-201,9879,-55,14,-14,0
380,-213,9949,-60,13,-14,0
349,-180,9939,-25,0,-5,0
313,-186,9815,24,-20,5,0
319,-186,9654,56,-31,17,0
347,-149,9577,55,-21,18,0
351,-105,9618,18,-3,18,0
343,-225,9696,-27,6,12,0
338,-379,9779,-53,8,-3,0
373,-347,9786,-50,9,-17,0
397,-229,9803,-28,7,-19,0
386,-222,9804,-4,-2,-13,0
361,-190,9751,26,-9,-3,0
366,-146,9699,31,-9,0,0
348,-104,9702,13,-3,4,0
351,-140,9714,-2,0,13,0
334,-238,9719,-13,4,16,0
314,-319,9762,-36,11,1,0
328,-304,9835,-38,13,-15,0
329,-190,9840,-13,8,-12,0
332,-126,9798,1,-2,-1,0
350,-196,9766,5,-8,1,0
355,-223,9707,9,-9,0,0
386,-155,9671,9,-6,8,0
366,-177,9749,-11,9,22,0
366,-177,9749,-11,9,22,0
328,-258,9821,-20,9,25,0
295,-342,9810,-23,3,15,0
305,-299,9806,-16,0,6,0
298,-253,9809,-6,-4,-1,0
302,-246,9812,1,-9,-7,0
289,-156,9842,10,-7,-11,0
318,-135,9823,-1,-10,-10,0
339,-183,9835,-15,-13,-7,0
319,-180,9860,-9,-14,2,0
313,-245,9862,-2,-19,14,0
295,-296,9829,-5,-23,24,0
317,-363,9818,-1,-27,26,0
313,-411,9773,5,-31,7,0
368,-377,9681,10,-33,-10,0
409,-265,9644,9,-25,-17,0
439,-191,9615,7,-19,-14,0
417,-174,9604,7,-15,-9,0
418,-197,9616,5,-10,-6,0
389,-249,9642,7,0,-3,0
385,-221,9694,11,2,-1,0
398,-171,9723,14,2,2,0
374,-140,9755,17,7,3,0
383,-125,9826,2,10,-1,0
356,-101,9856,-13,7,-2,0
345,-107,9865,-13,1,-2,0
324,-114,9859,-14,-3,-3,0
307,-99,9847,-9,-6,4,0
320,-153,9844,-4,-10,18,0
339,-213,9864,-7,-11,28,0
324,-269,9841,-12,-14,34,0
325,-331,9815,-11,-19,28,0
337,-334,9761,-3,-23,29,0
362,-335,9652,9,-27,23,0
381,-331,9611,13,-23,11,0
397,-265,9604,3,-15,-3,0
405,-216,9640,-4,-7,-7,0
390,-259,9700,1,-1,-10,0
374,-272,9736,0,3,-7,0
390,-256,9753,0,1,-5,0
392,-209,9765,-1,1,0,0
387,-189,9768,-3,0,6,0
372,-193,9742,-2,-2,13,0
353,-202,9731,0,0,16,0
378,-277,9750,-4,0,0,0
361,-213,9755,-6,1,-11,0
377,-123,9780,-9,3,-6,0
349,-185,9820,-9,3,5,0
323,-253,9817,2,-1,10,0
314,-281,9809,-4,-4,4,0
329,-302,9811,-11,-7,0,0
339,-290,9810,11,-9,0,0
359,-234,9765,21,-13,5,0
392,-217,9719,9,-12,6,0
362,-232,9729,-4,-9,3,0
355,-323,9730,-14,-9,-10,0
355,-323,9730,-14,-9,-10,0
375,-314,9699,3,-7,-21,0
361,-202,9727,14,-1,-19,0
345,-225,9774,-4,-2,-9,0
365,-258,9780,-2,-6,2,0
377,-262,9721,14,-6,5,0
396,-240,9723,13,-2,0,0
393,-191,9718,4,-2,-3,0
372,-172,9694,7,-4,-1,0
357,-186,9711,14,0,-3,0
343,-190,9755,1,3,-6,0
375,-172,9768,-10,5,-5,0
375,-160,9823,-5,5,-2,0
359,-189,9806,-3,0,1,0
350,-203,9803,0,-1,7,0
365,-204,9816,3,0,13,0
357,-198,9784,5,-5,17,0
361,-246,9753,13,-6,19,0
368,-234,9729,12,-3,11,0
359,-186,9731,-3,-4,9,0
337,-233,9773,-21,-2,6,0
345,-275,9792,-20,-1,7,0
330,-287,9790,-12,0,8,0
336,-292,9822,-13,-3,9,0
324,-278,9835,-9,-4,12,0
313,-256,9792,2,-8,12,0
330,-272,9760,4,-11,7,0
331,-292,9750,-8,-13,-6,0
347,-217,9735,-10,-15,-9,0
365,-216,9745,7,-12,-4,0
362,-252,9726,17,-11,-4,0
410,-260,9638,21,-8,-4,0
410,-260,9638,21,-8,-4,0
387,-238,9657,18,1,-12,0
385,-152,9694,3,9,-22,0
368,-88,9730,-10,12,-12,0
351,-119,9809,-13,12,7,0
337,-211,9845,-11,12,20,0
318,-235,9879,-9,9,20,0
298,-234,9900,-18,2,19,0
293,-233,9893,-10,-4,18,0
302,-245,9853,-1,-10,17,0
301,-269,9827,-5,-13,7,0
319,-289,9815,-19,-18,-12,0
322,-269,9783,-11,-15,-16,0
329,-243,9784,5,-15,-12,0
337,-298,9778,5,-22,-5,0
362,-322,9745,10,-25,-2,0
357,-278,9729,16,-21,0,0
377,-269,9708,2,-22,-2,0
399,-250,9660,-9,-22,-4,0
407,-205,9634,-9,-15,-5,0
409,-237,9617,-13,-9,-10,0
386,-256,9636,-6,-2,-15,0
375,-195,9713,4,2,-17,0
356,-179,9750,-10,2,-16,0
375,-169,9777,-10,2,-7,0
371,-169,9803,-1,2,2,0
363,-186,9827,-11,0,7,0
357,-235,9793,-9,-2,11,0
341,-192,9774,9,-2,12,0
354,-168,9768,15,-3,13,0
356,-164,9763,10,-3,17,0
348,-213,9759,-1,-3,17,0
339,-286,9757,-19,-4,4,0
336,-275,9779,-27,-4,-3,0
350,-249,9792,-15,-3,-1,0
338,-275,9820,-10,-4,3,0
343,-357,9808,-5,-10,4,0
354,-369,9760,12,-13,6,0
353,-316,9714,24,-10,5,0
390,-280,9714,27,-9,4,0
392,-250,9703,17,-7,4,0
378,-262,9670,4,-3,0,0
362,-274,9703,-5,0,-12,0
343,-269,9739,-14,6,-22,0
335,-221,9796,-10,5,-20,0
341,-191,9812,-4,3,-18,0
348,-202,9817,-3,1,-9,0
350,-201,9806,7,0,-4,0
359,-137,9804,13,-1,0,0
367,-112,9794,4,-4,2,0
344,-140,9786,1,-5,5,0
360,-192,9751,2,-6,9,0
353,-220,9714,6,-7,4,0
362,-244,9738,3,-4,-10,0
357,-214,9743,1,0,-8,0
356,-250,9737,-3,-2,-6,0
350,-266,9748,-7,-4,-7,0
368,-229,9744,-5,-2,2,0
366,-220,9731,2,-2,8,0
371,-222,9739,1,-2,19,0
367,-233,9732,5,-2,28,0
343,-266,9756,12,2,25,0
296,-349,9824,2,6,8,0
288,-423,9845,-21,1,-15,0
319,-318,9842,-19,-3,-28,0
341,-208,9853,-5,-6,-22,0
331,-237,9833,11,-13,-10,0
348,-204,9757,23,-16,-3,0
367,-140,9735,18,-15,3,0
397,-122,9712,5,-16,7,0
401,-142,9671,6,-15,17,0
401,-142,9671,6,-15,17,0
389,-220,9657,0,-10,19,0
367,-348,9658,-18,-3,3,0
361,-338,9666,-19,0,-12,0
378,-263,9689,-2,3,-21,0
375,-216,9718,7,3,-22,0
391,-167,9719,12,3,-12,0
386,-148,9749,10,7,0,0
347,-185,9805,1,11,9,0
308,-231,9845,0,10,14,0
294,-257,9877,-2,5,19,0
276,-298,9884,-11,1,11,0
269,-343,9915,-6,-2,-2,0
304,-274,9885,4,-12,-11,0
338,-183,9806,9,-17,-10,0
351,-189,9796,13,-21,-11,0
390,-196,9668,-4,-20,4,0
390,-196,9668,-4,-20,4,0
392,-244,9689,-7,-15,14,0
380,-286,9686,-2,-10,18,0
371,-311,9681,-4,-8,12,0
371,-312,9686,-5,-6,0,0
393,-266,9672,2,-4,-7,0
386,-213,9698,11,-1,-5,0
362,-225,9727,9,0,-7,0
381,-254,9723,-2,2,-19,0
368,-184,9757,-6,5,-16,0
349,-134,9788,-1,4,-2,0
353,-158,9797,-2,3,6,0
354,-222,9815,-9,4,16,0
325,-268,9841,-14,2,21,0
313,-270,9850,0,-5,23,0
339,-310,9812,11,-13,20,0
316,-336,9775,12,-17,0,0
348,-263,9762,8,-14,-19,0
357,-166,9749,3,-10,-17,0
380,-284,9742,3,-11,1,0
380,-284,9742,3,-11,1,0
371,-304,9714,0,-11,1,0
379,-284,9703,-3,-9,0,0
393,-254,9701,6,-8,5,0
395,-271,9690,15,-6,2,0
387,-289,9684,2,-3,-9,0
398,-226,9707,-5,3,-17,0
389,-104,9724,7,7,-13,0
356,-83,9763,5,5,-7,0
339,-166,9775,-4,4,-1,0
351,-193,9792,0,4,6,0
362,-185,9787,-1,2,13,0
363,-195,9792,-14,0,4,0
336,-276,9806,-9,-2,-8,0
331,-231,9798,0,-9,-4,0
362,-166,9766,0,-6,4,0
360,-240,9769,-8,-9,7,0
348,-305,9745,-5,-12,11,0
350,-300,9709,3,-11,7,0
372,-253,9719,-4,-6,5,0
369,-196,9730,-12,-3,9,0
353,-257,9731,-2,-6,11,0
350,-310,9738,3,-4,13,0
350,-331,9774,-1,0,5,0
318,-410,9830,-3,0,-21,0
311,-305,9877,3,-3,-26,0
328,-199,9866,11,-8,-14,0
331,-198,9823,6,-15,-9,0
355,-177,9769,0,-17,1,0
389,-129,9714,0,-14,7,0
385,-120,9703,-6,-11,13,0
366,-231,9699,-11,-11,13,0
393,-374,9687,-7,-12,-7,0
390,-259,9705,8,-9,-13,0
392,-156,9715,19,-5,-14,0
396,-192,9711,10,-5,-6,0
396,-237,9684,0,-4,-3,0
403,-205,9696,-2,0,0,0
398,-197,9705,-3,3,9,0
369,-241,9745,7,3,21,0
345,-298,9775,12,5,22,0
320,-314,9835,-4,7,20,0
302,-368,9869,-20,1,1,0
307,-368,9836,-22,-4,-12,0
323,-266,9852,-5,-3,-17,0
326,-246,9853,5,-7,-23,0
341,-221,9835,0,-12,-20,0
332,-192,9868,0,-14,-11,0
332,-186,9862,5,-19,0,0
344,-249,9820,8,-25,9,0
353,-292,9793,21,-26,13,0
375,-257,9735,23,-26,12,0
392,-235,9665,18,-30,14,0
414,-263,9622,19,-28,7,0
421,-300,9593,12,-19,-12,0
429,-228,9614,0,-12,-28,0
438,-169,9632,2,-5,-22,0
432,-166,9657,15,0,-9,0
433,-172,9646,4,3,-1,0
435,-169,9663,-7,7,3,0
405,-164,9671,-5,12,1,0
417,-154,9713,-9,12,6,0
402,-159,9757,-7,18,6,0
335,-180,9809,-7,19,5,0
308,-237,9852,-17,15,6,0
308,-237,9852,-17,15,6,0
314,-323,9877,-15,12,1,0
294,-263,9890,1,6,-4,0
