acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,class
5684,-1692,7826,-30,-12,-15,3
5748,-1570,7814,-30,-8,-36,3
5822,-1482,7778,-40,-13,-32,3
5848,-1418,7733,-28,-13,-22,3
5837,-1405,7688,-11,-4,-7,3
5809,-1410,7679,0,4,6,3
5814,-1406,7705,1,8,20,3
5798,-1428,7753,-5,7,28,3
5796,-1559,7765,-14,7,17,3
5801,-1637,7759,-19,5,-9,3
5873,-1595,7714,-23,3,-28,3
5927,-1517,7678,-23,5,-36,3
5974,-1450,7684,-21,9,-25,3
5960,-1460,7685,-14,16,-11,3
5952,-1466,7710,-12,23,8,3
5909,-1478,7716,-6,28,24,3
5809,-1567,7758,-2,-22,21,3
5809,-1567,7758,-2,-22,21,3
5879,-1595,7515,-18,-34,18,3
5942,-1559,7343,-31,-23,10,3
6019,-1551,7320,-40,-3,19,3
6014,-1616,7349,-31,16,19,3
5915,-1618,7476,-9,40,17,3
5825,-1589,7734,12,54,21,3
5782,-1658,7963,36,45,11,3
5873,-1515,7893,41,-13,-27,3
5873,-1515,7893,41,-13,-27,3
5954,-1430,7813,14,-25,-19,3
5964,-1458,7765,5,-25,-5,3
5960,-1543,7788,9,-18,8,3
5911,-1696,7877,19,-14,0,3
5819,-1686,7976,33,-13,-25,3
5760,-1586,8042,39,-19,-15,3
5741,-1537,8026,36,-32,0,3
5722,-1486,7860,12,-44,2,3
5739,-1428,7674,-20,-48,3,3
5792,-1346,7473,-45,-44,6,3
5891,-1278,7389,-62,-30,15,3
6015,-1313,7410,-71,-9,34,3
6031,-1490,7471,-49,11,28,3
5973,-1610,7624,-14,29,0,3
5995,-1564,7759,-9,34,8,3
6008,-1555,7871,-4,35,18,3
5942,-1549,7926,-10,38,24,3
5861,-1510,7939,-27,37,29,3
5814,-1454,7903,-36,36,32,3
5813,-1379,7868,-39,35,34,3
5804,-1357,7899,-36,33,32,3
5765,-1404,7977,-13,36,26,3
5734,-1471,8018,14,34,15,3
5699,-1471,8075,13,24,14,3
5715,-1489,8077,-8,12,19,3
5721,-1500,8024,-27,3,15,3
5640,-1516,7928,-37,7,2,3
5639,-1467,7914,-58,17,1,3
5676,-1429,7974,-51,16,23,3
5676,-1429,7974,-51,16,23,3
5667,-1444,7911,-33,11,38,3
5655,-1467,7872,-22,13,43,3
5681,-1502,7883,-24,19,34,3
5650,-1544,7881,-38,21,18,3
5619,-1632,7884,-61,22,4,3
5622,-1642,7837,-83,16,0,3
5674,-1670,7801,-85,18,-6,3
5648,-1655,7817,-87,25,-7,3
5612,-1691,7887,-84,29,-2,3
5591,-1842,7953,-70,30,-6,3
5570,-1891,7956,-65,24,-35,3
5597,-1782,7957,-74,18,-53,3
5661,-1683,7914,-68,19,-58,3
5704,-1573,7880,-64,18,-51,3
5735,-1532,7881,-69,18,-34,3
5753,-1576,7874,-66,17,-24,3
5745,-1690,7866,-63,11,-31,3
5699,-1699,7856,-61,8,-44,3
5745,-1674,7896,-70,3,-43,3
5802,-1656,7883,-84,-11,-39,3
5830,-1697,7835,-87,-19,-43,3
5834,-1739,7755,-83,-19,-54,3
5824,-1731,7751,-64,-12,-80,3
5828,-1634,7813,-49,-11,-85,3
5839,-1549,7852,-28,-19,-74,3
5879,-1533,7846,-4,-30,-51,3
5877,-1523,7759,7,-37,-35,3
5848,-1510,7701,0,-34,-24,3
5807,-1588,7733,-9,-34,-15,3
5784,-1684,7743,-2,-30,-20,3
5771,-1643,7735,6,-25,-34,3
5776,-1579,7722,3,-25,-38,3
5795,-1516,7737,-4,-27,-31,3
5808,-1571,7699,-11,-35,-25,3
