acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,class
7285,-3270,5552,5,5,20,2
7355,-3266,5480,0,2,9,2
7406,-3256,5427,1,7,9,2
7379,-3266,5521,11,15,11,2
7342,-3310,5646,17,10,7,2
7348,-3332,5627,21,2,-6,2
7381,-3314,5610,20,-1,-16,2
7374,-3263,5670,15,2,-12,2
7339,-3257,5739,5,1,-6,2
7297,-3286,5724,-1,-6,4,2
7270,-3317,5674,-2,-10,9,2
7251,-3294,5624,4,-13,6,2
7239,-3257,5549,8,-18,6,2
7271,-3247,5450,0,-19,21,2
7273,-3313,5366,-11,-10,34,2
7271,-3377,5299,-17,0,33,2
7300,-3450,5273,-21,6,22,2
7304,-3495,5294,-15,9,1,2
7325,-3481,5339,1,14,-11,2
7387,-3475,5400,19,15,-19,2
7415,-3413,5478,35,17,-32,2
7430,-3269,5555,40,19,-45,2
7443,-3171,5634,36,20,-50,2
7433,-3077,5675,28,20,-40,2
7427,-2998,5650,25,20,-27,2
7448,-2960,5621,21,20,-11,2
7461,-2995,5610,14,15,9,2
7473,-3085,5561,10,14,22,2
7491,-3135,5581,11,16,29,2
7504,-3199,5606,11,18,26,2
7447,-3226,5636,11,23,19,2
7332,-3294,5745,9,28,20,2
7236,-3380,5877,6,25,14,2
7145,-3416,5931,11,15,-6,2
7114,-3320,5901,23,2,-31,2
7192,-3176,5845,34,-10,-38,2
7302,-3065,5735,36,-18,-26,2
7385,-3034,5633,31,-23,-6,2
7494,-3100,5572,18,-19,6,2
7474,-3155,5583,4,-5,9,2
7403,-3199,5618,-4,6,4,2
7358,-3237,5680,-8,10,5,2
7360,-3227,5759,-4,2,-2,2
7407,-3156,5795,7,-9,-14,2
7423,-3023,5769,15,-18,-23,2
7423,-2930,5697,15,-26,-20,2
7427,-2934,5636,2,-29,-13,2
7406,-2961,5591,-13,-25,-11,2
7379,-3040,5585,-29,-11,15,2
7346,-3046,5536,-15,3,-1,2
7354,-3031,5518,-25,7,-4,2
7379,-3016,5506,-25,12,4,2
7381,-3059,5482,-18,16,21,2
7386,-3087,5475,-7,20,27,2
7356,-3101,5497,0,23,24,2
7346,-3088,5583,-1,27,23,2
7291,-3092,5628,-14,34,27,2
7261,-3155,5628,-29,38,29,2
7253,-3220,5607,-39,37,32,2
7279,-3278,5609,-31,36,37,2
7264,-3334,5572,-11,31,30,2
7269,-3281,5531,12,27,18,2
7278,-3203,5533,26,26,11,2
7302,-3178,5552,20,32,9,2
7266,-3191,5590,3,39,5,2
7247,-3219,5616,-9,46,9,2
