acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,class
2640,-3112,8901,0,-23,9,1
2648,-3098,8869,2,-18,-2,1
2679,-3035,8865,10,-11,-10,1
2685,-2980,8905,17,-9,-9,1
2640,-2958,8910,27,-15,0,1
2673,-3002,8874,27,-27,9,1
2723,-3009,8875,15,-13,6,1
2725,-2905,8825,10,-7,5,1
2734,-2922,8804,6,-1,19,1
2681,-2986,8909,3,18,27,1
2588,-3055,8992,-3,21,21,1
2540,-3068,9014,-11,8,12,1
2578,-3034,9046,-3,-4,12,1
2645,-3050,9088,0,-3,15,1
2626,-3052,9202,-7,6,21,1
2502,-3143,9232,-4,-8,29,1
2456,-3308,9126,1,-31,22,1
2516,-3293,8958,9,-42,-4,1
2625,-3083,8836,34,-46,-16,1
2713,-3035,8875,61,-29,0,1
2674,-3156,8936,45,-26,5,1
2608,-3165,8925,27,-31,-6,1
2622,-3098,8916,34,-29,-16,1
2640,-3064,8888,31,-38,-27,1
2725,-2960,8727,43,-49,-28,1
2791,-2959,8809,102,-70,-82,1
2706,-2929,8767,85,-37,-46,1
2747,-2959,8737,29,-7,1,1
2709,-2895,8772,32,0,-23,1
2745,-2832,8852,26,15,-14,1
2754,-2821,8892,18,27,-3,1
2717,-2862,8919,8,30,7,1
2654,-2904,8984,12,28,16,1
2630,-2944,9044,18,17,12,1
2648,-2966,8986,22,3,5,1
2680,-2916,8962,23,1,0,1
2699,-2882,9007,18,9,0,1
2704,-2867,9019,23,13,11,1
2694,-2891,9043,18,14,22,1
2669,-2928,9047,12,15,31,1
2628,-2974,9067,4,17,30,1
2604,-2979,9070,3,8,23,1
2595,-2972,9057,5,-5,20,1
2664,-3019,9131,3,-15,13,1
2723,-2959,9162,-3,-3,7,1
2628,-2903,9076,-15,-4,21,1
2485,-3117,8928,-24,-18,42,1
2467,-3287,8751,-18,-25,32,1
2577,-3201,8589,-6,-20,0,1
2685,-3002,8680,13,-1,-18,1
2717,-2942,8982,25,14,-13,1
2727,-3007,9177,21,15,1,1
2703,-3022,9226,13,4,6,1
2669,-2997,9110,3,-13,6,1
2683,-3015,8892,3,-25,3,1
2700,-2978,8730,18,-22,2,1
2677,-2917,8698,24,-5,0,1
2624,-2911,8958,21,16,-11,1
2712,-2820,8979,13,20,-9,1
2724,-2791,9068,5,30,4,1
2677,-2845,9086,2,25,20,1
2621,-2916,9094,5,14,23,1
2585,-2977,9051,5,3,14,1
2628,-2909,8949,6,-4,4,1
2655,-2861,8942,0,3,6,1
2649,-2916,9024,-8,14,16,1
2630,-3001,9059,-13,16,18,1
2603,-3017,9044,-9,13,10,1
2615,-3004,9044,-4,6,3,1
2640,-2979,8988,7,-8,3,1
2609,-3031,8913,6,7,10,1
2604,-3015,8918,-4,15,4,1
2582,-2976,8995,-16,17,0,1
2571,-2985,9007,-17,11,-5,1
2602,-3031,9024,-3,4,-7,1
2626,-2983,9012,1,0,-12,1
2633,-2964,8973,8,-2,-12,1
2634,-2985,8971,12,0,-5,1
2632,-2960,8950,12,1,-3,1
2642,-2917,8958,9,7,0,1
2612,-2923,9003,1,12,3,1
2609,-2966,9010,-6,10,5,1
2609,-2966,9010,-6,10,5,1
2606,-2977,8996,-9,5,-4,1
2628,-2913,8979,-7,2,-12,1
2674,-2875,8972,0,1,-6,1
2642,-2944,8953,3,3,0,1
2624,-2978,8955,0,7,5,1
2604,-2942,8959,-4,12,5,1
2584,-2946,8977,-8,13,5,1
2600,-2984,8955,-6,7,9,1
2587,-2995,8971,-8,10,4,1
2554,-2997,9028,-3,5,-2,1
2597,-2989,9026,2,-4,-6,1
2646,-2912,8989,4,-3,-10,1
2646,-2913,9003,0,5,1,1
2621,-2932,8980,-6,8,10,1
2592,-2948,8939,-3,7,17,1
2589,-2977,8882,1,9,19,1
2577,-2953,8879,1,12,12,1
2559,-2965,8927,3,13,7,1
2564,-3033,8968,5,8,2,1
2588,-2991,9033,7,9,-9,1
2591,-2924,9100,0,11,-11,1
2600,-2911,9089,-4,4,1,1
2590,-2947,9056,-1,-1,7,1
2607,-2937,9006,5,-1,4,1
2608,-2909,8983,5,0,5,1
2509,-2970,9051,-8,-9,-2,1
2588,-2934,9026,-3,-17,-3,1
2622,-2911,8996,-4,-14,0,1
2626,-2952,8970,-1,-11,5,1
2613,-2962,8952,0,-6,8,1
2602,-2954,8905,5,-1,9,1
2590,-2977,8900,0,0,4,1
2588,-3002,8937,-2,-4,2,1
2603,-3003,8921,1,-7,3,1
2630,-2962,8913,0,-2,1,1
2622,-2974,8964,0,6,6,1
2576,-3031,9000,3,9,6,1
2540,-3025,9044,5,7,0,1
2512,-2995,9075,6,2,-9,1
2553,-2948,9052,14,-6,-11,1
2584,-2888,9065,11,-8,-6,1
2655,-2886,8964,-9,-24,-4,1
2637,-2929,8947,-1,-18,5,1
2597,-2986,8939,3,-15,13,1
2561,-3011,8936,3,-13,10,1
2539,-3015,8945,-3,-17,-1,1
2573,-2989,8935,-6,-28,-12,1
2651,-2932,8886,-5,-26,-12,1
2683,-2942,8886,-10,-14,-9,1
2598,-3002,8921,6,-4,2,1
2584,-2996,8954,5,0,-1,1
2482,-3082,9147,-14,-4,-1,1
