aX,aY,aZ,gX,gY,gZ,target
3119,-9172,809,144,62,-9,0
3079,-9229,611,190,95,-19,0
2936,-9326,620,288,164,-5,0
2936,-9326,620,288,164,-5,0
2906,-9519,662,366,221,15,0
3043,-9731,662,393,248,-6,0
3135,-9871,458,384,280,-71,0
3080,-10291,-84,350,304,-158,0
3494,-10937,-1286,303,338,-280,0
4008,-11007,-2782,325,437,-410,0
4065,-10552,-3842,483,672,-500,0
3893,-10167,-4152,725,1051,-520,0
3943,-10100,-4045,956,1477,-477,0
4140,-9687,-3680,1138,1895,-443,0
4039,-9035,-3149,1269,2334,-448,0
3940,-8749,-2712,1270,2834,-512,0
4005,-8523,-2548,1120,3344,-650,0
3857,-7996,-2012,962,3834,-845,0
3156,-7419,-782,821,4301,-1057,0
1927,-7355,1061,672,4630,-1162,0
1415,-7492,2932,525,4659,-1166,0
1363,-7755,4116,435,4402,-1111,0
1575,-8613,4000,447,4102,-1025,0
1971,-9142,2897,679,4048,-1043,0
1746,-8755,2518,1173,4186,-1134,0
774,-8169,3058,1670,4291,-1152,0
-312,-7660,4365,1936,4291,-1009,0
-824,-7443,6524,1774,4021,-777,0
-869,-7358,8439,1153,3516,-632,0
-642,-7629,9590,457,3035,-672,0
-496,-7683,10196,34,2693,-734,0
-620,-7435,10835,-19,2393,-691,0
-368,-7075,11219,64,1974,-628,0
51,-6733,11200,163,1477,-550,0
363,-6374,10738,235,1026,-447,0
365,-6051,10083,247,706,-362,0
284,-5816,9551,142,504,-280,0
220,-5927,9325,-118,315,-155,0
430,-6487,9094,-455,79,10,0
792,-7235,8707,-683,-177,197,0
1089,-8020,8245,-711,-446,333,0
1272,-8383,7583,-606,-754,396,0
1590,-8614,6744,-468,-1049,442,0
1996,-8755,5846,-372,-1177,446,0
2130,-8701,4887,-321,-1117,393,0
1933,-8561,4201,-218,-950,294,0
1582,-8481,4241,-61,-731,183,0
1562,-8318,4875,0,-520,112,0
1704,-8159,5518,-62,-394,116,0
1818,-8171,5858,-144,-359,158,0
1868,-8221,6012,-182,-364,194,0
1941,-8312,6052,-163,-401,239,0
2014,-8447,5928,-102,-460,281,0
2163,-8499,5660,-49,-528,289,0
2287,-8577,5303,5,-594,280,0
2473,-8775,4784,69,-629,259,0
2588,-8899,4243,126,-581,218,0
2461,-8898,4132,131,-469,126,0
2367,-8797,4249,33,-364,12,0
2254,-8628,4459,-104,-295,-43,0
2255,-8458,4763,-206,-247,-47,0
2372,-8333,5165,-241,-219,-23,0
2557,-8148,5552,-221,-226,9,0
2697,-8037,5906,-170,-276,51,0
2733,-7984,5949,-136,-398,116,0
2747,-7874,5692,-145,-559,205,0
2701,-8148,5249,-152,-650,291,0
2636,-8746,4525,-126,-633,318,0
2490,-9158,4113,-18,-547,281,0
2310,-9100,4200,112,-468,205,0
2448,-8833,4580,153,-403,112,0
2797,-8546,4941,63,-366,23,0
2988,-8245,5023,-133,-379,-49,0
3086,-8065,4941,-331,-439,-81,0
3068,-8032,4829,-457,-511,-58,0
2904,-8099,4781,-457,-545,10,0
2869,-8025,4830,-368,-575,95,0
2786,-7812,4903,-263,-606,208,0
2710,-7735,4999,-156,-620,319,0
2697,-7948,4910,-40,-614,395,0
2592,-8357,4781,134,-573,445,0
2479,-8619,4829,287,-523,442,0
2438,-8755,4984,317,-488,386,0
2448,-8772,5035,179,-492,290,0
2445,-8656,4974,-98,-508,137,0
2403,-8528,4832,-439,-488,-39,0
2387,-8336,4793,-739,-458,-167,0
2505,-8229,4826,-908,-499,-207,0
2631,-8275,4844,-941,-600,-183,0
2821,-8427,4709,-868,-692,-112,0
3049,-8517,4381,-734,-781,-21,0
3132,-8207,4082,-577,-878,67,0
3008,-8358,3907,-366,-902,123,0
3011,-8417,3781,-240,-871,158,0
3011,-8417,3781,-240,-871,158,0
3010,-8373,3656,-188,-852,172,0
2804,-8427,3385,-197,-883,191,0
2772,-8225,3222,-207,-958,204,0
3106,-8039,3150,-266,-995,216,0
3440,-7969,3014,-388,-967,245,0
3436,-8130,3093,-493,-991,309,0
3379,-8282,2561,-528,-1085,378,0
3415,-8724,2257,-601,-967,471,0
3386,-9184,2027,-655,-863,492,0
3334,-9326,2094,-596,-836,442,0
3177,-9368,2358,-476,-779,405,0
3064,-9335,2798,-403,-719,355,0
3100,-9105,3071,-403,-715,316,0
3187,-9073,3101,-469,-741,303,0
3196,-9176,3064,-552,-798,273,0
3096,-9411,2931,-610,-857,225,0
2998,-9599,2723,-632,-898,162,0
3062,-9731,2106,-650,-928,105,0
3264,-10069,1561,-574,-876,43,0
3263,-10301,1404,-506,-700,-69,0
3192,-9964,1490,-586,-568,-162,0
2592,-10109,1259,-760,-542,-215,0
2718,-9399,1576,-891,-519,-340,0
2378,-9124,2021,-965,-648,-350,0
2152,-9578,2056,-993,-716,-418,0
2783,-9563,2206,-965,-694,-584,0
3277,-9215,2343,-931,-816,-617,0
3277,-9061,2269,-895,-994,-477,0
2966,-8953,2111,-877,-1071,-299,0
3037,-8625,1807,-914,-1061,-163,0
3117,-8364,1440,-1008,-1079,31,0
3341,-8110,920,-1103,-1119,127,0
4144,-8235,444,-1253,-1045,118,0
4340,-8376,243,-1507,-881,93,0
4005,-8231,257,-1907,-753,120,0
3621,-7895,64,-2409,-744,217,0
3409,-7831,-122,-2894,-797,281,0
3301,-8184,-213,-3278,-798,267,0
2936,-8469,-118,-3577,-770,177,0
2339,-8716,-117,-3876,-895,176,0
1829,-8786,-688,-4229,-1367,388,0
1618,-8808,-2218,-4513,-1917,434,0
1789,-8701,-4296,-4661,-2018,124,0
2310,-8379,-5628,-4680,-1635,-298,0
2691,-7939,-5602,-4642,-1162,-502,0
2668,-7358,-4842,-4705,-841,-461,0
2515,-6493,-4682,-4917,-723,-354,0
2584,-6243,-4561,-5163,-574,-202,0
2654,-6744,-4288,-5303,-325,-149,0
2592,-7058,-3955,-5287,-230,-222,0
2553,-6732,-3980,-5074,-421,-296,0
