device_time_ms,ax,ay,az,gx,gy,gz,temp,hum,pres,label
201682,-5599011.0,-7252258.0,2730670.0,-15446.0,-3728.0,-7457.0,21960000.0,55574000.0,100290000.0,right
201692,-5615771.0,-7235498.0,2759401.0,6924.0,3728.0,4793.0,21960000.0,55574000.0,100290000.0,right
201702,-5615771.0,-7255849.0,2827638.0,34622.0,10652.0,17577.0,21960000.0,55574000.0,100290000.0,right
201712,-5612179.0,-7266623.0,2869538.0,27697.0,14381.0,28763.0,21960000.0,55574000.0,100290000.0,right
201722,-5660065.0,-7365986.0,2931789.0,30893.0,16512.0,39415.0,21960000.0,55574000.0,100290000.0,right
201732,-5668445.0,-7400703.0,2954535.0,53264.0,13848.0,36220.0,21960000.0,55574000.0,100290000.0,right
201742,-5645699.0,-7261835.0,2894678.0,5326.0,9055.0,50068.0,21960000.0,55574000.0,100290000.0,right
201752,-5494860.0,-6658478.0,2840806.0,-95344.0,1597.0,102268.0,21960000.0,55574000.0,100290000.0,right
201762,-5801327.0,-7806532.0,2801301.0,-197079.0,-8522.0,162990.0,21960000.0,55574000.0,100290000.0,right
201772,-5733090.0,-7444997.0,2828835.0,109192.0,13316.0,49003.0,21960000.0,55574000.0,100290000.0,right
201782,-5547534.0,-7197189.0,2683981.0,5859.0,9587.0,107062.0,21960000.0,55574000.0,100290000.0,right
201832,-5791750.0,-7224723.0,2901860.0,35154.0,33024.0,26632.0,21960000.0,55574000.0,100290000.0,right
201842,-5820481.0,-7306129.0,2822849.0,28230.0,24501.0,5859.0,21960000.0,55574000.0,100290000.0,right
201852,-5809707.0,-7302537.0,2680390.0,0.0,18642.0,-17044.0,21960000.0,55574000.0,100290000.0,right
201862,-5826467.0,-7343240.0,2603773.0,29295.0,24501.0,-30360.0,21960000.0,55574000.0,100290000.0,right
201872,-5832453.0,-7363591.0,2669616.0,70309.0,33556.0,-44742.0,21960000.0,55574000.0,100290000.0,right
201882,-5796539.0,-7385140.0,2748627.0,99605.0,38350.0,-62319.0,21960000.0,55574000.0,100290000.0,right
201892,-5812101.0,-7528796.0,2888692.0,125705.0,40481.0,-72440.0,21960000.0,55574000.0,100290000.0,right
201902,-5830058.0,-7758647.0,3009603.0,120378.0,34622.0,-104399.0,21960000.0,55574000.0,100290000.0,right
201912,-5863578.0,-7842446.0,2807287.0,135292.0,26099.0,-242355.0,21960000.0,55574000.0,100290000.0,right
201922,-5752245.0,-7266623.0,2476877.0,132096.0,45275.0,-315327.0,21960000.0,55574000.0,100290000.0,right
201932,-5710345.0,-7270215.0,2367937.0,46340.0,99072.0,-260997.0,21960000.0,55574000.0,100290000.0,right
201942,-5938998.0,-7720338.0,2666024.0,125705.0,170447.0,-266324.0,21960000.0,55574000.0,100290000.0,right
201953,-6104203.0,-7686819.0,3032348.0,190155.0,202406.0,-288695.0,21960000.0,55574000.0,100290000.0,right
201962,-6089837.0,-7932232.0,3293324.0,193884.0,201873.0,-286032.0,21960000.0,55574000.0,100290000.0,right
201972,-5840833.0,-7939414.0,3392687.0,289760.0,227973.0,-289760.0,21960000.0,55574000.0,100290000.0,right
201983,-5739076.0,-8427847.0,3482472.0,359004.0,272715.0,-305740.0,21960000.0,55574000.0,100290000.0,right
201993,-6068289.0,-9405908.0,3872739.0,333970.0,316393.0,-366462.0,21960000.0,55574000.0,100290000.0,right
202003,-6155680.0,-9976942.0,4054704.0,348884.0,360602.0,-471926.0,21960000.0,55574000.0,100290000.0,right
