ax,ay,az,gx,gy,gz,class
350000.0,-238000.0,9689000.0,1000.0,-18000.0,-3000.0,0
356000.0,-251000.0,9650000.0,12000.0,-13000.0,-3000.0,0
356000.0,-232000.0,9651000.0,1000.0,-6000.0,-16000.0,0
339000.0,-228000.0,9656000.0,-5000.0,-6000.0,-18000.0,0
384000.0,-196000.0,9640000.0,11000.0,0.0,-19000.0,0
383000.0,-140000.0,9670000.0,-2000.0,11000.0,-21000.0,0
357000.0,-125000.0,9751000.0,-15000.0,13000.0,-10000.0,0
325000.0,-137000.0,9804000.0,-3000.0,16000.0,2000.0,0
277000.0,-180000.0,9824000.0,0.0,11000.0,9000.0,0
253000.0,-249000.0,9834000.0,0.0,4000.0,0.0,0
263000.0,-202000.0,9846000.0,4000.0,5000.0,-1000.0,0
243000.0,-177000.0,9877000.0,-2000.0,2000.0,0.0,0
246000.0,-235000.0,9859000.0,-11000.0,-9000.0,-4000.0,0
272000.0,-226000.0,9834000.0,-7000.0,-12000.0,-4000.0,0
289000.0,-158000.0,9847000.0,-1000.0,-7000.0,-5000.0,0
266000.0,-172000.0,9856000.0,-1000.0,-12000.0,-2000.0,0
295000.0,-214000.0,9815000.0,3000.0,-18000.0,-1000.0,0
305000.0,-246000.0,9766000.0,5000.0,-21000.0,0.0,0
301000.0,-253000.0,9724000.0,-6000.0,-25000.0,-8000.0,0
357000.0,-241000.0,9720000.0,-14000.0,-21000.0,-13000.0,0
349000.0,-217000.0,9727000.0,-1000.0,-14000.0,-11000.0,0
335000.0,-189000.0,9708000.0,0.0,-14000.0,-5000.0,0
347000.0,-217000.0,9684000.0,-5000.0,-14000.0,-1000.0,0
366000.0,-214000.0,9680000.0,3000.0,-11000.0,-4000.0,0
356000.0,-162000.0,9692000.0,0.0,-4000.0,-7000.0,0
355000.0,-143000.0,9720000.0,-4000.0,0.0,-3000.0,0
329000.0,-166000.0,9756000.0,5000.0,1000.0,-3000.0,0
307000.0,-177000.0,9754000.0,3000.0,0.0,-3000.0,0
331000.0,-221000.0,9759000.0,-6000.0,-3000.0,-9000.0,0
332000.0,-155000.0,9794000.0,0.0,-4000.0,-5000.0,0
349000.0,-108000.0,9786000.0,4000.0,-6000.0,5000.0,0
331000.0,-156000.0,9824000.0,-7000.0,-3000.0,8000.0,0
290000.0,-197000.0,9865000.0,-19000.0,-2000.0,9000.0,0
306000.0,-198000.0,9833000.0,-2000.0,-15000.0,15000.0,0
320000.0,-228000.0,9796000.0,-3000.0,-18000.0,10000.0,0
307000.0,-202000.0,9765000.0,-3000.0,-18000.0,8000.0,0
313000.0,-181000.0,9732000.0,1000.0,-18000.0,10000.0,0
281000.0,-202000.0,9735000.0,7000.0,-18000.0,10000.0,0
307000.0,-247000.0,9755000.0,-1000.0,-17000.0,10000.0,0
