device_time_ms,ax,ay,az,gx,gy,gz,label
0,350000.0,-238000.0,9689000.0,1000.0,-18000.0,-3000.0,idle
10,356000.0,-251000.0,9650000.0,12000.0,-13000.0,-3000.0,idle
20,356000.0,-232000.0,9651000.0,1000.0,-6000.0,-16000.0,idle
30,339000.0,-228000.0,9656000.0,-5000.0,-6000.0,-18000.0,idle
40,384000.0,-196000.0,9640000.0,11000.0,0.0,-19000.0,idle
50,383000.0,-140000.0,9670000.0,-2000.0,11000.0,-21000.0,idle
60,357000.0,-125000.0,9751000.0,-15000.0,13000.0,-10000.0,idle
70,325000.0,-137000.0,9804000.0,-3000.0,16000.0,2000.0,idle
80,277000.0,-180000.0,9824000.0,0.0,11000.0,9000.0,idle
90,253000.0,-249000.0,9834000.0,0.0,4000.0,0.0,idle
100,263000.0,-202000.0,9846000.0,4000.0,5000.0,-1000.0,idle
110,243000.0,-177000.0,9877000.0,-2000.0,2000.0,0.0,idle
120,246000.0,-235000.0,9859000.0,-11000.0,-9000.0,-4000.0,idle
130,272000.0,-226000.0,9834000.0,-7000.0,-12000.0,-4000.0,idle
140,289000.0,-158000.0,9847000.0,-1000.0,-7000.0,-5000.0,idle
150,266000.0,-172000.0,9856000.0,-1000.0,-12000.0,-2000.0,idle
160,295000.0,-214000.0,9815000.0,3000.0,-18000.0,-1000.0,idle
170,305000.0,-246000.0,9766000.0,5000.0,-21000.0,0.0,idle
180,301000.0,-253000.0,9724000.0,-6000.0,-25000.0,-8000.0,idle
190,357000.0,-241000.0,9720000.0,-14000.0,-21000.0,-13000.0,idle
200,349000.0,-217000.0,9727000.0,-1000.0,-14000.0,-11000.0,idle
210,335000.0,-189000.0,9708000.0,0.0,-14000.0,-5000.0,idle
220,347000.0,-217000.0,9684000.0,-5000.0,-14000.0,-1000.0,idle
230,366000.0,-214000.0,9680000.0,3000.0,-11000.0,-4000.0,idle
240,356000.0,-162000.0,9692000.0,0.0,-4000.0,-7000.0,idle
250,355000.0,-143000.0,9720000.0,-4000.0,0.0,-3000.0,idle
260,329000.0,-166000.0,9756000.0,5000.0,1000.0,-3000.0,idle
270,307000.0,-177000.0,9754000.0,3000.0,0.0,-3000.0,idle
280,331000.0,-221000.0,9759000.0,-6000.0,-3000.0,-9000.0,idle
290,332000.0,-155000.0,9794000.0,0.0,-4000.0,-5000.0,idle
300,349000.0,-108000.0,9786000.0,4000.0,-6000.0,5000.0,idle
310,331000.0,-156000.0,9824000.0,-7000.0,-3000.0,8000.0,idle
320,290000.0,-197000.0,9865000.0,-19000.0,-2000.0,9000.0,idle
330,306000.0,-198000.0,9833000.0,-2000.0,-15000.0,15000.0,idle
340,320000.0,-228000.0,9796000.0,-3000.0,-18000.0,10000.0,idle
350,307000.0,-202000.0,9765000.0,-3000.0,-18000.0,8000.0,idle
360,313000.0,-181000.0,9732000.0,1000.0,-18000.0,10000.0,idle
370,281000.0,-202000.0,9735000.0,7000.0,-18000.0,10000.0,idle
380,307000.0,-247000.0,9755000.0,-1000.0,-17000.0,10000.0,idle
390,324000.0,-268000.0,9810000.0,-12000.0,-12000.0,6000.0,idle
400,300000.0,-292000.0,9854000.0,-29000.0,-12000.0,0.0,idle
410,300000.0,-330000.0,9836000.0,-22000.0,-18000.0,0.0,idle
420,299000.0,-287000.0,9762000.0,4000.0,-25000.0,5000.0,idle
430,329000.0,-234000.0,9677000.0,17000.0,-31000.0,5000.0,idle
440,347000.0,-201000.0,9591000.0,22000.0,-30000.0,6000.0,idle
450,384000.0,-166000.0,9585000.0,26000.0,-21000.0,2000.0,idle
