device_time_ms,ax,ay,az,gx,gy,gz,label
0,7285000.0,-3270000.0,5552000.0,5000.0,5000.0,20000.0,swipe_right
10,7355000.0,-3266000.0,5480000.0,0.0,2000.0,9000.0,swipe_right
20,7406000.0,-3256000.0,5427000.0,1000.0,7000.0,9000.0,swipe_right
30,7379000.0,-3266000.0,5521000.0,11000.0,15000.0,11000.0,swipe_right
40,7342000.0,-3310000.0,5646000.0,17000.0,10000.0,7000.0,swipe_right
50,7348000.0,-3332000.0,5627000.0,21000.0,2000.0,-6000.0,swipe_right
60,7381000.0,-3314000.0,5610000.0,20000.0,-1000.0,-16000.0,swipe_right
70,7374000.0,-3263000.0,5670000.0,15000.0,2000.0,-12000.0,swipe_right
80,7339000.0,-3257000.0,5739000.0,5000.0,1000.0,-6000.0,swipe_right
90,7297000.0,-3286000.0,5724000.0,-1000.0,-6000.0,4000.0,swipe_right
100,7270000.0,-3317000.0,5674000.0,-2000.0,-10000.0,9000.0,swipe_right
110,7251000.0,-3294000.0,5624000.0,4000.0,-13000.0,6000.0,swipe_right
120,7239000.0,-3257000.0,5549000.0,8000.0,-18000.0,6000.0,swipe_right
130,7271000.0,-3247000.0,5450000.0,0.0,-19000.0,21000.0,swipe_right
140,7273000.0,-3313000.0,5366000.0,-11000.0,-10000.0,34000.0,swipe_right
150,7271000.0,-3377000.0,5299000.0,-17000.0,0.0,33000.0,swipe_right
160,7300000.0,-3450000.0,5273000.0,-21000.0,6000.0,22000.0,swipe_right
170,7304000.0,-3495000.0,5294000.0,-15000.0,9000.0,1000.0,swipe_right
180,7325000.0,-3481000.0,5339000.0,1000.0,14000.0,-11000.0,swipe_right
190,7387000.0,-3475000.0,5400000.0,19000.0,15000.0,-19000.0,swipe_right
200,7415000.0,-3413000.0,5478000.0,35000.0,17000.0,-32000.0,swipe_right
210,7430000.0,-3269000.0,5555000.0,40000.0,19000.0,-45000.0,swipe_right
220,7443000.0,-3171000.0,5634000.0,36000.0,20000.0,-50000.0,swipe_right
230,7433000.0,-3077000.0,5675000.0,28000.0,20000.0,-40000.0,swipe_right
240,7427000.0,-2998000.0,5650000.0,25000.0,20000.0,-27000.0,swipe_right
250,7448000.0,-2960000.0,5621000.0,21000.0,20000.0,-11000.0,swipe_right
260,7461000.0,-2995000.0,5610000.0,14000.0,15000.0,9000.0,swipe_right
270,7473000.0,-3085000.0,5561000.0,10000.0,14000.0,22000.0,swipe_right
280,7491000.0,-3135000.0,5581000.0,11000.0,16000.0,29000.0,swipe_right
290,7504000.0,-3199000.0,5606000.0,11000.0,18000.0,26000.0,swipe_right
300,7447000.0,-3226000.0,5636000.0,11000.0,23000.0,19000.0,swipe_right
310,7332000.0,-3294000.0,5745000.0,9000.0,28000.0,20000.0,swipe_right
320,7236000.0,-3380000.0,5877000.0,6000.0,25000.0,14000.0,swipe_right
330,7145000.0,-3416000.0,5931000.0,11000.0,15000.0,-6000.0,swipe_right
340,7114000.0,-3320000.0,5901000.0,23000.0,2000.0,-31000.0,swipe_right
350,7192000.0,-3176000.0,5845000.0,34000.0,-10000.0,-38000.0,swipe_right
360,7302000.0,-3065000.0,5735000.0,36000.0,-18000.0,-26000.0,swipe_right
370,7385000.0,-3034000.0,5633000.0,31000.0,-23000.0,-6000.0,swipe_right
380,7494000.0,-3100000.0,5572000.0,18000.0,-19000.0,6000.0,swipe_right
390,7474000.0,-3155000.0,5583000.0,4000.0,-5000.0,9000.0,swipe_right
400,7403000.0,-3199000.0,5618000.0,-4000.0,6000.0,4000.0,swipe_right
410,7358000.0,-3237000.0,5680000.0,-8000.0,10000.0,5000.0,swipe_right
420,7360000.0,-3227000.0,5759000.0,-4000.0,2000.0,-2000.0,swipe_right
430,7407000.0,-3156000.0,5795000.0,7000.0,-9000.0,-14000.0,swipe_right
440,7423000.0,-3023000.0,5769000.0,15000.0,-18000.0,-23000.0,swipe_right
450,7423000.0,-2930000.0,5697000.0,15000.0,-26000.0,-20000.0,swipe_right
460,7427000.0,-2934000.0,5636000.0,2000.0,-29000.0,-13000.0,swipe_right
470,7406000.0,-2961000.0,5591000.0,-13000.0,-25000.0,-11000.0,swipe_right
480,7379000.0,-3040000.0,5585000.0,-29000.0,-11000.0,15000.0,swipe_right
490,7346000.0,-3046000.0,5536000.0,-15000.0,3000.0,-1000.0,swipe_right
500,7354000.0,-3031000.0,5518000.0,-25000.0,7000.0,-4000.0,swipe_right
510,7379000.0,-3016000.0,5506000.0,-25000.0,12000.0,4000.0,swipe_right
520,7381000.0,-3059000.0,5482000.0,-18000.0,16000.0,21000.0,swipe_right
530,7386000.0,-3087000.0,5475000.0,-7000.0,20000.0,27000.0,swipe_right
540,7356000.0,-3101000.0,5497000.0,0.0,23000.0,24000.0,swipe_right
550,7346000.0,-3088000.0,5583000.0,-1000.0,27000.0,23000.0,swipe_right
560,7291000.0,-3092000.0,5628000.0,-14000.0,34000.0,27000.0,swipe_right
570,7261000.0,-3155000.0,5628000.0,-29000.0,38000.0,29000.0,swipe_right
580,7253000.0,-3220000.0,5607000.0,-39000.0,37000.0,32000.0,swipe_right
590,7279000.0,-3278000.0,5609000.0,-31000.0,36000.0,37000.0,swipe_right
600,7264000.0,-3334000.0,5572000.0,-11000.0,31000.0,30000.0,swipe_right
610,7269000.0,-3281000.0,5531000.0,12000.0,27000.0,18000.0,swipe_right
620,7278000.0,-3203000.0,5533000.0,26000.0,26000.0,11000.0,swipe_right
630,7302000.0,-3178000.0,5552000.0,20000.0,32000.0,9000.0,swipe_right
640,7266000.0,-3191000.0,5590000.0,3000.0,39000.0,5000.0,swipe_right
650,7247000.0,-3219000.0,5616000.0,-9000.0,46000.0,9000.0,swipe_right
660,7307000.0,-3252000.0,5625000.0,-9000.0,45000.0,19000.0,swipe_right
670,7343000.0,-3313000.0,5595000.0,-1000.0,41000.0,22000.0,swipe_right
680,7349000.0,-3314000.0,5565000.0,15000.0,39000.0,18000.0,swipe_right
690,7358000.0,-3264000.0,5594000.0,26000.0,42000.0,15000.0,swipe_right
700,7369000.0,-3211000.0,5697000.0,20000.0,48000.0,15000.0,swipe_right
710,7304000.0,-3213000.0,5832000.0,5000.0,50000.0,21000.0,swipe_right
720,7257000.0,-3330000.0,5875000.0,-12000.0,45000.0,30000.0,swipe_right
730,7257000.0,-3378000.0,5842000.0,-17000.0,37000.0,30000.0,swipe_right
740,7331000.0,-3363000.0,5723000.0,-3000.0,28000.0,23000.0,swipe_right
750,7405000.0,-3287000.0,5587000.0,17000.0,26000.0,18000.0,swipe_right
760,7416000.0,-3187000.0,5594000.0,28000.0,33000.0,18000.0,swipe_right
770,7340000.0,-3124000.0,5748000.0,21000.0,44000.0,30000.0,swipe_right
780,7258000.0,-3185000.0,5879000.0,2000.0,47000.0,53000.0,swipe_right
790,7207000.0,-3348000.0,5960000.0,-19000.0,43000.0,69000.0,swipe_right
800,7166000.0,-3519000.0,5946000.0,-27000.0,33000.0,63000.0,swipe_right
810,7142000.0,-3586000.0,5869000.0,-19000.0,24000.0,51000.0,swipe_right
820,7161000.0,-3560000.0,5814000.0,-8000.0,19000.0,42000.0,swipe_right
830,7187000.0,-3531000.0,5797000.0,-2000.0,20000.0,33000.0,swipe_right
840,7212000.0,-3460000.0,5754000.0,0.0,21000.0,28000.0,swipe_right
850,7257000.0,-3373000.0,5712000.0,0.0,27000.0,29000.0,swipe_right
860,7269000.0,-3342000.0,5703000.0,-9000.0,38000.0,34000.0,swipe_right
870,7212000.0,-3367000.0,5773000.0,-22000.0,47000.0,49000.0,swipe_right
880,7149000.0,-3456000.0,5912000.0,-36000.0,55000.0,62000.0,swipe_right
890,7082000.0,-3539000.0,5998000.0,-45000.0,58000.0,63000.0,swipe_right
900,7061000.0,-3543000.0,5991000.0,-50000.0,52000.0,51000.0,swipe_right
910,7041000.0,-3515000.0,5983000.0,-56000.0,45000.0,31000.0,swipe_right
920,7051000.0,-3464000.0,5970000.0,-61000.0,38000.0,17000.0,swipe_right
930,7095000.0,-3374000.0,5870000.0,-64000.0,33000.0,11000.0,swipe_right
940,7133000.0,-3330000.0,5749000.0,-64000.0,27000.0,17000.0,swipe_right
950,7166000.0,-3350000.0,5642000.0,-65000.0,28000.0,28000.0,swipe_right
960,7158000.0,-3369000.0,5613000.0,-63000.0,33000.0,31000.0,swipe_right
970,7125000.0,-3372000.0,5648000.0,-61000.0,34000.0,25000.0,swipe_right
980,7124000.0,-3375000.0,5695000.0,-60000.0,32000.0,14000.0,swipe_right
990,7119000.0,-3354000.0,5710000.0,-60000.0,31000.0,4000.0,swipe_right
1000,7119000.0,-3354000.0,5710000.0,-60000.0,31000.0,4000.0,swipe_right
1010,7166000.0,-3317000.0,5741000.0,-61000.0,30000.0,5000.0,swipe_right
1020,7144000.0,-3343000.0,5778000.0,-63000.0,23000.0,10000.0,swipe_right
1030,7101000.0,-3386000.0,5755000.0,-63000.0,14000.0,4000.0,swipe_right
1040,7112000.0,-3363000.0,5698000.0,-61000.0,4000.0,-6000.0,swipe_right
1050,7138000.0,-3328000.0,5625000.0,-54000.0,-2000.0,-14000.0,swipe_right
1060,7186000.0,-3317000.0,5584000.0,-43000.0,-9000.0,-22000.0,swipe_right
1070,7182000.0,-3270000.0,5594000.0,-30000.0,-16000.0,-33000.0,swipe_right
1080,7181000.0,-3205000.0,5624000.0,-16000.0,-21000.0,-32000.0,swipe_right
1090,7227000.0,-3173000.0,5634000.0,-12000.0,-21000.0,-19000.0,swipe_right
1100,7209000.0,-3159000.0,5637000.0,-19000.0,-20000.0,-9000.0,swipe_right
1110,7180000.0,-3187000.0,5577000.0,-27000.0,-21000.0,-4000.0,swipe_right
1120,7188000.0,-3299000.0,5754000.0,36000.0,-40000.0,-15000.0,swipe_right
1130,7188000.0,-3299000.0,5754000.0,36000.0,-40000.0,-15000.0,swipe_right
1140,7231000.0,-3300000.0,5668000.0,35000.0,-39000.0,-21000.0,swipe_right
1150,7265000.0,-3270000.0,5570000.0,33000.0,-29000.0,-22000.0,swipe_right
1160,7275000.0,-3269000.0,5517000.0,33000.0,-13000.0,-19000.0,swipe_right
1170,7266000.0,-3255000.0,5509000.0,31000.0,3000.0,-20000.0,swipe_right
1180,7265000.0,-3196000.0,5584000.0,34000.0,18000.0,-15000.0,swipe_right
1190,7239000.0,-3203000.0,5707000.0,28000.0,30000.0,1000.0,swipe_right
1200,7234000.0,-3238000.0,5863000.0,17000.0,23000.0,-10000.0,swipe_right
1210,7258000.0,-3219000.0,5864000.0,11000.0,21000.0,6000.0,swipe_right
1220,7276000.0,-3300000.0,5845000.0,0.0,15000.0,10000.0,swipe_right
1230,7276000.0,-3326000.0,5796000.0,-5000.0,10000.0,7000.0,swipe_right
1240,7318000.0,-3331000.0,5722000.0,-3000.0,4000.0,6000.0,swipe_right
1250,7362000.0,-3337000.0,5686000.0,5000.0,-1000.0,4000.0,swipe_right
1260,7357000.0,-3334000.0,5713000.0,12000.0,-4000.0,2000.0,swipe_right
1270,7326000.0,-3317000.0,5763000.0,17000.0,-7000.0,0.0,swipe_right
1280,7328000.0,-3122000.0,5842000.0,21000.0,-26000.0,4000.0,swipe_right
1290,7113000.0,-3379000.0,5783000.0,21000.0,-39000.0,15000.0,swipe_right
1300,7106000.0,-3360000.0,5767000.0,18000.0,-41000.0,23000.0,swipe_right
1310,7066000.0,-3383000.0,5759000.0,11000.0,-37000.0,33000.0,swipe_right
1320,7023000.0,-3465000.0,5745000.0,1000.0,-36000.0,33000.0,swipe_right
1330,6970000.0,-3527000.0,5747000.0,-5000.0,-36000.0,19000.0,swipe_right
1340,6967000.0,-3571000.0,5736000.0,-6000.0,-41000.0,5000.0,swipe_right
1350,6988000.0,-3603000.0,5710000.0,-3000.0,-44000.0,-6000.0,swipe_right
