t_s,media_mA,min_mA,max_mA,n
0.5,2.8589,-0.0003,15.2879,101888
1.6,4.3596,0.0038,37.7931,101376
2.6,23.1213,0.0101,62.6960,100864
3.6,19.8632,0.0018,221.1755,100864
4.6,0.9839,0.0013,58.6452,100864
5.6,0.4543,0.0007,10.5218,101376
6.6,0.9874,0.0000,55.5470,100352
7.6,0.9851,0.0007,59.2690,100864
8.6,0.9927,0.0004,56.7259,100352
9.6,0.9887,-0.0007,55.5470,100352
10.6,0.4531,0.0010,11.2585,101376
11.6,0.9796,0.0018,56.8947,101376
12.7,0.9875,0.0006,58.0793,101376
13.7,0.9878,0.0009,58.1924,100352
14.7,0.9791,-0.0004,56.1639,101888
15.7,0.4523,-0.0007,10.4749,100352
16.7,0.9823,0.0013,55.9955,101376
17.7,0.9833,-0.0007,56.8384,100864
18.7,0.9833,0.0013,57.2326,100864
19.7,19.6165,0.0016,214.1930,101376
20.7,49.1407,1.4081,238.2784,100864
21.8,36.7516,0.0159,279.6825,101376
22.8,20.4358,0.0113,246.0687,101376
23.8,41.3894,0.0023,261.6797,100352
24.8,23.9070,0.0024,239.8356,100352
25.8,5.6406,0.0001,58.3055,100864
26.8,7.9867,0.0005,198.7058,100352
27.8,8.0093,-0.0001,199.4792,100352
28.8,8.8133,0.0013,197.1593,101376
29.8,7.6798,0.0008,201.0263,101888
30.8,6.6540,0.0001,57.3454,100352
31.8,12.3009,0.0019,205.6700,101888
32.9,9.1276,0.0006,198.7058,100352
33.9,7.9807,-0.0000,195.6132,100352
34.9,5.9074,-0.0003,60.0649,100352
35.9,9.3332,0.0011,195.6132,100864
36.9,9.3431,0.0014,228.9434,100352
37.9,7.9724,0.0007,194.0675,100864
38.9,8.6428,0.0013,221.1755,100864
39.9,5.6462,-0.0004,59.3257,100352
40.9,7.9851,0.0019,200.2527,100864
41.9,12.8107,0.0004,207.2187,100352
42.9,12.7770,0.0017,207.9932,101376
43.9,38.4985,14.2282,50.4424,99840
44.9,35.8048,0.0092,67.1912,100864
45.9,31.8932,0.0269,64.1939,101376
46.9,32.9926,0.0120,64.9240,100352
47.9,32.9703,0.0092,64.9240,100352
48.9,33.6754,23.7140,67.9471,100352
50.0,33.8429,2.3121,64.2517,101376
51.0,40.2224,14.9310,49.0721,100864
52.0,40.8748,20.9854,50.2227,101376
53.0,40.8742,24.3525,50.2227,101376
54.0,40.8594,26.7272,49.7838,100864
55.0,40.2335,2.1779,63.7899,101376
56.0,37.8864,23.9593,68.7032,101376
57.0,34.3801,24.2050,59.7804,100352
58.1,34.3861,23.8121,60.4067,101888
59.1,34.3826,24.0084,59.4393,100864
60.1,34.3755,23.9102,59.5530,100864
61.1,34.3716,24.0576,59.3257,100864
62.1,34.3896,24.2050,59.7804,100864
63.1,34.3434,23.8121,65.6796,100864
64.1,34.6073,23.3709,64.1939,101376
65.1,34.6372,23.6649,67.1912,100352
66.1,34.6566,23.4199,64.1939,100864
67.1,35.4393,23.4689,65.6796,100864
68.2,35.6473,23.7140,65.6796,101888
69.2,35.5208,23.9593,65.6796,100352
70.2,35.2365,23.7140,64.4250,101376
71.2,35.2237,23.6159,64.2517,101376
72.2,34.8302,23.7140,65.6796,100864
73.2,34.8860,23.7630,65.6796,100864
74.2,34.8667,23.3709,65.6796,101376
75.2,34.8286,23.6159,68.7032,101376
76.2,34.9012,23.2730,64.2517,101376
77.3,34.8164,23.5669,64.4829,100864
78.3,21.2708,0.0018,68.7032,101376
79.3,0.4289,0.0002,9.2542,99840
80.3,0.4300,0.0005,9.9679,104960
81.3,0.4278,0.0013,11.0285,101376
