t_s,media_mA,min_mA,max_mA,n
0.11,4.1920,0.0205,15.4481,9216
0.21,2.9389,0.2144,14.6965,10240
0.31,2.8869,1.7572,4.3090,9728
0.41,2.8858,1.7528,4.2850,10240
0.52,4.2103,0.0203,17.6254,10240
0.62,6.3527,1.6958,20.2607,9728
0.72,6.5234,0.0175,18.8668,10240
0.82,4.7906,0.0072,30.7438,10240
0.92,22.1671,1.6651,57.9097,9728
1.02,24.7477,2.0044,49.7838,10240
1.12,31.6425,13.6678,48.5806,10240
1.22,40.4943,30.3388,47.1115,9728
1.32,40.6756,16.5337,49.6194,10240
1.42,41.9810,32.0650,47.3829,10240
1.52,41.4568,30.5918,48.9628,9728
1.62,41.2200,30.7438,49.1815,10240
1.73,41.4096,30.2377,47.8178,10240
1.83,41.3413,29.9345,48.6352,10240
1.93,41.4535,31.0480,48.3079,9728
2.03,41.6731,30.7438,51.3784,10240
2.13,40.7543,2.4921,49.5646,10240
2.23,25.1634,2.1021,61.2059,9728
2.33,34.8650,2.2762,61.8927,10240
2.43,35.3143,2.1823,61.8927,10240
2.53,32.9634,2.3974,62.2367,9728
2.63,28.2019,2.2494,60.5778,10240
2.73,34.7442,2.3031,61.3774,9728
2.83,34.5628,2.1466,61.2059,10240
2.93,34.2500,2.1154,61.3774,10240
3.03,34.1730,2.2717,61.2630,9728
3.13,26.4057,2.4921,61.7208,10240
3.23,31.9797,2.5327,61.3202,10240
3.33,34.8743,2.3076,61.2630,9728
3.44,34.5148,2.1288,61.0344,10240
3.54,34.5242,2.2673,61.6063,10240
3.64,34.8829,2.3166,61.4918,9728
3.74,34.5375,2.3525,60.9773,10240
3.84,26.2848,2.4785,31.9631,10240
3.94,28.0130,2.1199,61.0344,9728
4.04,34.5754,2.3794,61.2630,10240
4.14,34.2680,2.4064,64.1684,10240
4.24,30.9742,2.1734,61.3774,9728
4.34,32.8737,2.2762,60.8631,10240
4.44,34.2747,2.0798,60.5207,10240
4.54,27.8427,0.1538,60.4637,9728
4.64,27.0147,2.3121,56.5571,10240
4.74,27.3575,2.1957,57.7968,9728
4.84,30.4734,2.2762,59.2690,10240
4.94,27.9271,2.2449,58.9852,10240
5.04,29.9356,2.3345,58.1358,9728
5.14,29.7501,2.2717,57.7968,10240
5.25,29.8876,2.3390,59.3825,10240
5.35,29.8277,2.2583,59.5530,9728
5.45,30.1240,2.3749,58.7585,10240
5.55,30.1204,2.2315,59.8373,10240
5.65,30.3010,2.2628,59.4961,9728
5.75,30.0661,2.2628,59.0987,10240
5.85,30.2457,2.2717,59.2690,10240
5.95,29.8910,2.1422,57.6838,9728
6.05,29.8979,2.1600,58.3621,10240
6.15,29.9688,2.2986,58.7018,9728
6.25,30.0116,2.2002,59.2690,10240
6.35,29.9542,2.0621,58.8718,10240
6.45,30.0646,2.0976,58.7018,9728
6.55,30.3329,2.3615,58.8152,10240
6.65,32.3034,2.2136,62.5811,10240
6.75,34.6445,2.3121,62.2367,9728
6.86,35.4453,2.2762,62.2941,10240
6.96,34.7028,2.3435,62.2367,10240
7.06,35.2996,2.4921,62.2941,9728
7.16,35.0876,2.3480,61.9500,10240
7.26,35.4192,2.2180,62.0646,9728
7.36,35.0894,2.3839,62.0646,10240
7.46,35.1200,2.4289,62.3514,10240
7.56,35.4448,2.2673,62.4088,9728
7.66,35.1043,2.1912,62.0073,10240
7.76,35.4644,2.3210,62.0646,9728
7.86,34.2095,2.4876,62.0646,10240
7.96,35.1584,2.1645,62.2941,10240
8.06,29.7030,0.0305,61.6635,9728
8.16,30.9443,2.2762,59.5530,10240
8.26,31.0953,2.0443,59.8373,10240
8.36,30.9108,2.2717,59.5530,9728
8.46,30.9793,2.2628,60.0649,10240
8.56,31.0976,2.3121,60.1218,9728
8.66,30.7180,2.0399,59.5530,10240
8.76,30.7654,2.1868,60.7489,10240
8.86,31.0659,2.2270,60.6919,9728
8.96,31.1928,2.1600,59.3825,10240
9.06,26.8772,0.0266,60.0080,10240
9.17,30.8965,2.3480,59.8942,9728
9.27,31.0967,2.2494,60.5207,10240
9.37,30.9166,2.4876,59.6667,9728
9.47,30.7952,2.2852,60.5207,10240
9.57,30.7802,2.4289,59.4393,10240
9.67,31.0039,2.2807,59.0987,9728
9.77,30.9156,2.2673,59.9511,10240
9.87,30.7244,2.3480,59.2122,10240
9.97,30.9510,2.3255,58.8152,10240
10.07,30.8354,2.5101,59.7235,9728
10.17,30.9779,2.3794,59.8373,10240
10.27,30.9650,2.4650,58.6452,10240
10.37,30.8814,2.3839,59.4393,9728
10.48,30.8124,2.3166,60.6919,10240
10.58,30.9744,2.1957,59.6667,10240
10.68,29.5795,2.3076,60.6348,9728
10.78,25.6992,13.4814,48.7443,10240
10.88,38.5178,29.6319,45.1658,10240
10.98,33.7834,2.5011,62.9259,9728
11.08,37.9128,22.8818,63.0410,10240
11.18,37.5597,24.0576,63.7322,10240
11.28,37.7099,24.0084,63.2136,9728
11.38,37.5603,23.8121,63.4440,10240
11.48,37.7581,23.7140,64.1939,10240
11.58,37.9120,24.1067,63.3864,9728
11.68,37.6695,23.9593,67.1912,10240
11.78,37.6000,22.8818,62.9835,9728
11.88,37.7957,23.5669,62.5811,10240
11.98,37.9284,24.2542,62.8110,10240
12.08,37.4164,23.9593,63.3864,9728
12.19,37.7229,24.0576,62.9259,10240
12.29,37.7897,23.8612,63.4440,10240
12.39,34.2099,23.7630,63.9630,9728
12.49,34.6216,23.8121,64.1939,10240
12.59,33.8814,23.9102,63.5592,10240
12.69,34.3535,23.7630,64.3095,10240
12.79,34.1290,23.8121,63.6169,9728
12.89,34.9718,24.0084,64.1362,10240
12.99,34.5405,23.9593,63.5016,9728
13.09,34.5881,24.0084,64.2517,10240
13.19,34.2928,23.9593,64.2517,10240
13.29,34.6337,23.8612,63.9052,9728
13.39,35.0319,23.9102,64.0207,10240
13.50,34.9239,24.0084,63.0410,10240
13.60,35.9179,24.1067,63.9630,9728
13.70,35.7311,24.0084,67.1912,10240
13.80,35.3526,24.0576,63.9052,10240
13.90,35.1310,24.2050,63.8475,9728
14.00,35.5747,24.3033,64.0207,10240
14.10,35.5369,24.0084,63.7322,10240
14.20,34.9404,23.9102,64.3095,9728
14.30,35.8901,23.0284,64.3672,10240
14.40,35.4012,22.9307,64.5985,10240
14.50,34.7462,23.9102,64.7142,9728
14.60,35.8799,23.7140,63.3864,10240
14.70,35.6948,23.7140,63.2136,9728
14.80,34.1660,23.9593,63.0985,10240
14.90,34.4171,24.0576,63.7322,10240
15.00,34.8632,24.1558,63.7899,9728
15.10,35.4322,24.0576,63.5016,10240
15.20,34.2470,24.1067,63.7899,10240
15.31,35.4498,24.0576,63.7322,9728
15.41,35.1129,23.4689,64.1362,10240
15.51,34.6593,23.9102,63.5592,10240
15.61,35.0493,23.6649,63.8475,9728
15.71,35.2144,24.1067,66.4354,10240
15.81,35.5298,24.3033,63.3864,10240
15.91,34.1197,24.2542,64.1684,9728
16.01,35.4745,23.8121,63.4440,10240
16.11,35.1607,24.1067,63.7899,10240
16.21,34.8167,24.3033,63.6745,10240
16.31,34.8052,24.1067,63.3288,9728
16.41,35.1554,24.2050,64.3095,10240
16.51,34.7160,23.5179,63.3288,9728
16.61,34.9837,24.3033,63.8475,10240
16.71,35.1448,24.0084,67.9471,10240
16.82,34.8881,24.0084,63.5592,9728
16.92,34.0175,23.9593,63.9052,10240
17.02,34.8186,24.0576,64.3095,9728
17.12,34.6011,24.1067,64.5407,10240
17.22,34.2044,23.8121,63.7322,10240
17.32,34.6103,23.9593,63.3864,9728
17.42,34.5670,23.8612,63.9630,10240
17.52,35.0702,23.9102,63.3864,10240
17.62,33.9441,24.2050,63.6169,9728
17.72,34.9374,23.7630,65.6796,10240
17.82,34.6333,23.9593,64.1939,10240
17.92,34.3502,23.9102,64.5407,9728
18.02,34.5945,23.9593,63.5016,10240
18.12,34.4240,23.7140,64.9240,10240
18.23,34.9654,23.3709,63.8475,10240
18.33,34.1825,23.7630,64.7721,9728
18.43,34.2265,23.6649,64.2517,10240
