t_s,media_mA,min_mA,max_mA,n
0.02,4.3435,0.1779,13.4884,1024
0.04,4.2585,0.0191,14.4622,2048
0.06,4.3302,0.0203,13.7648,2560
0.08,4.3528,0.1569,13.7296,2048
0.10,4.2677,0.1726,13.7183,1536
0.12,4.1344,0.0172,13.9945,2048
0.15,3.4323,0.1752,11.8561,2048
0.17,2.7129,1.7045,4.0364,2560
0.19,2.7102,1.7484,4.0745,2048
0.21,2.7124,1.7748,4.0936,2048
0.23,2.7125,1.6695,4.0269,2048
0.25,2.7157,1.7265,3.9082,2048
0.27,2.7118,1.7265,3.9841,2048
0.29,2.7121,1.6170,3.9793,2048
0.31,2.7141,1.5167,4.0031,2048
0.33,2.7133,1.7002,4.0079,2048
0.35,2.7065,1.5952,3.9508,2048
0.37,2.7132,1.6870,4.0459,2048
0.39,2.7131,1.5254,3.9746,2048
0.42,2.7093,1.7352,4.0555,2048
0.44,2.7093,1.6126,4.0079,2048
0.46,2.7079,1.6826,3.9936,2048
0.48,2.7100,1.5646,4.0412,2048
0.50,4.5339,1.1666,20.4845,2048
0.52,6.0117,0.2629,15.5854,2048
0.54,6.0678,1.8276,15.6365,2048
0.56,6.0975,1.8452,16.2499,2560
0.58,6.0474,1.7221,15.1695,2048
0.60,6.0931,1.6520,16.2274,2048
0.62,6.5513,1.9822,16.7231,2048
0.64,6.5075,1.9556,17.8636,2048
0.66,6.5557,2.0132,15.8722,2048
0.68,6.5590,1.9556,17.8636,2048
0.70,6.1759,0.2692,17.7683,2048
0.73,6.1830,0.0168,16.4391,2048
0.75,4.9366,0.0130,26.6277,2048
0.77,5.0849,0.1390,16.8772,2048
0.79,5.7041,0.3306,14.7434,2048
0.81,5.6769,0.2362,15.0317,2048
0.83,5.6358,1.6345,13.6891,2048
0.85,5.7021,0.2007,15.1052,2048
0.87,5.5969,0.3237,14.1063,2048
0.89,5.6291,0.3515,13.7024,2048
0.91,5.7044,0.3242,13.8186,2048
0.93,5.6460,0.3469,14.5559,2048
0.95,5.6741,0.3460,14.4622,2048
0.97,5.6235,0.2113,15.0167,2048
0.99,5.6701,0.3492,14.6837,2048
1.01,5.6398,0.2464,14.4172,2048
